ip,port
23.105.170.34,50477
66.29.128.244,27464
67.213.210.167,12763
23.105.170.34,27308
162.210.192.171,55564
66.23.233.210,62013
66.29.128.241,52963
162.19.7.56,12321
67.213.212.99,65112
209.159.183.20,41969
23.105.170.35,50966
67.213.210.62,62635
66.29.128.246,11589
67.213.212.50,20801
67.213.212.47,50557
67.213.212.36,36039
166.29.128.242,19910
67.213.212.48,47026
66.29.128.245,23241
66.29.128.245,49334
162.210.197.91,15597
195.184.43.182,17079
67.213.210.62,17236
67.213.210.167,40775
66.23.233.210,2517
23.105.170.33,13977
67.213.212.36,28275
162.210.197.69,57863
66.29.129.56,51325
67.213.212.48,13655
37.221.193.221,28590
67.213.210.175,54269
198.7.56.71,63332
66.29.129.53,32825
66.29.128.246,46073
66.29.128.245,54021
66.29.128.242,26700
67.213.212.51,46501
67.213.212.47,50211
67.213.212.51,63238
23.105.170.30,37988
162.210.197.91,48025
66.29.128.244,53875
66.29.128.245,12590
198.7.56.73,35473
209.159.183.22,30125
23.105.170.30,26600
67.213.212.48,65425
209.159.13.20,48997
67.213.210.118,63361
67.213.212.48,62604
23.105.170.35,50018
162.210.192.136,47674
108.181.132.117,56517
108.181.132.115,28093
166.29.128.243,31575
23.105.170.33,60078
67.213.212.51,19754
67.213.210.175,30280
67.213.212.50,49132
